,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,runtime
7571,25095,Wuthering Heights,1992-10-16,"['Drama', 'Romance']",English,6.7,236,10.313,"Young orphan Heathcliff is adopted by the wealthy Earnshaw family and moves into their estate, Wuthering Heights. Soon, the new resident falls for his compassionate foster sister, Cathy. The two share a remarkable bond that seems unbreakable until Cathy, feeling the pressure of social convention, suppresses her feelings and marries Edgar Linton, a man of means who befits her stature. Heathcliff vows to win her back.",105
7572,14534,Rudy,1993-09-17,"['Drama', 'History']",English,7.4,563,17.063,"Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team.",114
7573,420648,The Bar,2017-02-15,"['Horror', 'Thriller', 'Comedy']",Spanish,6.3,1202,16.82,"In downtown Madrid, a series of mysterious gunshots trap a motley assortment of people in a decrepit bar.",102
7574,349176,Assassination Classroom,2015-03-21,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Japanese,7.3,163,13.818,"A mysterious creature destroys 70% of the moon. The creature then warns that if he is not destroyed by March of next year, Earth will be next. The creature also demands that he becomes the homeroom teacher for 3rd grade E class at Kunugigaoka Junior High School. The government is powerless to say no.  The creature then becomes the homeroom teacher of 3rd grade E class which consists of failed students including Nagisa Shiota (Ryosuke Yamada). The creature is called Teacher Koro.  Meanwhile, the government requests that the students try to kill Teacher Koro even though he possesses super powers. The government offers a 10 billion yen reward for whomever successfully kills him. The students are confused by the situation, but decide to kill Teacher Koro.  When their class begins with Teacher Koro, the students finds themselves having a good time with their new teacher.",110
7575,316322,Barbie in Princess Power,2015-01-29,['Animation'],English,6.2,187,13.568,"Barbie is Kara - a modern-day princess with a normal life. Kissed by a butterfly which gives her superpowers and allows her to become a Super Sparkle, she is ready to save the kingdom from evil - were it not for her jealous cousin who is also kissed by the butterfly and becomes her rival and nemesis. Watch as Super Sparkle and Dark Sparkle learn that together they can become a great team for good once they learn the power of friendship.",74
7576,15384,Red Cliff II,2009-01-07,"['Action', 'Adventure', 'Drama', 'History', 'War']",Chinese,7.3,386,13.315,"The battle of Red Cliff continues and the alliance between Xu and East Wu is fracturing.  With Cao Cao's massive forces on their doorstep, will the kingdoms of Xu and East Wu survive?",141
7577,11595,Another 48 Hrs.,1990-06-08,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']",English,6.0,728,11.062,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the Ice Man. Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",95
7578,3109,The Quiet Man,1952-07-21,"['Romance', 'Comedy', 'Drama']",English,7.3,430,13.563,"An American man returns to the village of his birth in Ireland, where he finds love and conflict.",129
7579,509598,Mr. Jones,2019-10-25,"['Thriller', 'Drama', 'History']",English,6.7,293,10.976,"In 1933, Welsh journalist Gareth Jones travels to Ukraine, where he experiences the horrors of a famine. Everywhere he goes he meets henchmen of the Soviet secret service who are determined to prevent news about the catastrophe from getting out. Stalin’s forced collectivisation of agriculture has resulted in misery and ruin—the policy is tantamount to mass murder.",119
7580,353595,LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!,2015-08-25,"['Animation', 'Action', 'Adventure', 'Family', 'Comedy']",English,7.0,105,11.317,"Crime is on the run as the newly formed Justice League keeps Metropolis safe and this makes evil genius Lex Luthor very unhappy. Together with Black Manta, Sinestro and a gang of ruthless recruits, Lex builds his own league and declares them the Legion of Doom. With this super powered team of terror and a plan to attack the top-secret government site, Area 52, can Lex finally be on the verge of victory? Sound the alarm and get ready for the bricks to fly when Superman, Batman, Wonder Woman and the rest of the Justice League face off against the world's greatest Super-Villains! It's the next all-new original movie from LEGO® and DC Comics.",77
